simulation_id,claim_count,annual_loss
9300,0,0.0
9322,0,0.0
9334,1,629.8335357965988
9337,0,0.0
9338,0,0.0
9342,0,0.0
9374,0,0.0
9390,0,0.0
9393,0,0.0
9394,0,0.0
9427,0,0.0
9428,0,0.0
9437,0,0.0
9440,0,0.0
9445,0,0.0
9458,0,0.0
9464,0,0.0
9474,0,0.0
9489,0,0.0
9490,0,0.0
9494,1,558.7359347763003
9495,1,166.2449174135822
9501,0,0.0
9526,0,0.0
9527,0,0.0
9529,0,0.0
9541,0,0.0
9544,0,0.0
9551,0,0.0
9576,1,187.74384813873786
9581,0,0.0
9588,1,705.1337837061419
9597,0,0.0
9609,0,0.0
9646,0,0.0
9648,0,0.0
9655,0,0.0
9659,0,0.0
9663,1,215.12648730101387
9667,0,0.0
9691,0,0.0
9711,0,0.0
9724,1,714.1616316900211
9729,0,0.0
9730,0,0.0
9732,0,0.0
9753,0,0.0
9756,0,0.0
9757,2,1223.262961211647
9758,0,0.0
9761,0,0.0
9762,0,0.0
9770,1,6551.836380774898
9788,0,0.0
9798,0,0.0
9802,0,0.0
9805,0,0.0
9813,0,0.0
9819,1,3611.019177988701
9820,0,0.0
9828,0,0.0
9843,1,3408.6395743145317
9844,0,0.0
9847,0,0.0
9856,0,0.0
9857,0,0.0
9870,0,0.0
9923,0,0.0
9934,0,0.0
9944,0,0.0
9958,1,898.7060195042329
9976,0,0.0
9980,0,0.0
9985,0,0.0
10000,0,0.0
10004,0,0.0
10017,0,0.0
10029,0,0.0
10037,0,0.0
10052,0,0.0
10072,0,0.0
10073,0,0.0
10076,0,0.0
10078,0,0.0
10088,0,0.0
10095,0,0.0
10100,0,0.0
10116,0,0.0
10119,0,0.0
10128,0,0.0
10145,0,0.0
10146,0,0.0
10147,0,0.0
10189,0,0.0
10198,0,0.0
10201,0,0.0
10225,0,0.0
10240,0,0.0
10259,0,0.0
10286,0,0.0
10293,0,0.0
10297,0,0.0
10315,0,0.0
10318,0,0.0
10327,0,0.0
10328,0,0.0
10338,1,7745.7805961181175
10339,0,0.0
10342,0,0.0
10346,0,0.0
10349,0,0.0
10354,0,0.0
10370,1,2422.2355108446595
10381,0,0.0
10384,1,207.76767568382536
10394,0,0.0
10400,0,0.0
10402,0,0.0
10414,0,0.0
10421,0,0.0
10426,0,0.0
10444,0,0.0
10457,0,0.0
10459,0,0.0
10470,0,0.0
10471,0,0.0
10485,0,0.0
10519,0,0.0
10523,0,0.0
10536,0,0.0
10547,0,0.0
10552,0,0.0
10556,0,0.0
10566,0,0.0
10571,0,0.0
10575,0,0.0
10579,0,0.0
10587,0,0.0
10588,0,0.0
10608,0,0.0
10636,0,0.0
10638,1,3431.533237934633
10640,0,0.0
10647,0,0.0
10651,0,0.0
10669,0,0.0
10695,0,0.0
10712,0,0.0
10713,1,3238.8586365352435
